NewsArticleID,NewsArticleTitle,NewsArticleText,label
2,Ministry of Agriculture & Farmers Welfare (MoA&FW) signs MOU for developing a National Interactive Digital Platform to strengthen extension system,"The Ministry of Agriculture & Farmers Welfare, Government of India signed a Memorandum of Understanding in New Delhi today with Digital Green under public private partnership framework to build a national level digital extension platform. The platform will host a digital library of curated multi-format multi-lingual content, help extension workers access and deliver curated content to farmers on time and upskill the vast network of extension workers for agriculture, horticulture, fisheries, livestock and rural livelihood missions through certified online courses.Speaking on the occasion, Shri Manoj Ahuja, Secretary, MoA&FW, GoI said that ""The proposed national digital platform will help make our extension system more efficient and effective by connecting farmers to the strong foundation of digital agriculture ecosystem that is being built by the government. Digital capacity of this extension system is crucial to help farmers reap the benefits of digital agriculture and will serve as one of the component of digital public infrastructure for Agriculture announced recently in the Union Budget "".

There are over 200,000 extension workers in India in agriculture, livelihood and allied sectors. This ambitious initiative will converge the outreach efforts of departments of agriculture, horticulture, livestock, dairy, fisheries and rural livelihoods under a single digital platform through a decentralised content creation and targeted dissemination. To be launched within six months, the platform will have the portal and capabilities to serve the entire farming community in India and catalyse Agtech and other market actors with newer and higher value proposition.The MOU is with Digital Green, an award winning social enterprise that is leveraging the power of technology to support small and marginal farmers to enhance their productivity and income, strengthen their agency and build community level resilience. Founded by Rikin Gandhi, a technocrat and social development enthusiast, Digital Green has been working with governments in Bihar, Jharkhand, Odisha, Andhra Pradesh and Telangana, serving over 25 lakhs farmers and having enhanced the capacities of over 4000 front like workers.

According to Rikin Gandhi, technology has no value unless it makes a positive difference to the last mile farmer. Thanking the GoI for investing in technology to make Indian farm system future ready, he said that ""we are honoured and proud to be partnering with Ministry of Agriculture & Farmers Welfare and be a key stakeholder in making our small and marginal farmers thrive and proposer. He further added that the envisaged platform will contribute to and complement the national systems to emerge as a digital public good for the farm sector in India.’’
",1
12,"India safeguarding farm subsidy, says Agri minister Tomar on G20 sidelines","Union Minister for Agriculture Narendra Tomar on Monday said interest to safeguard the support extended to the agricultural sector in form of subsidy by the government will be protected in the G20 deliberations being held under India's presidency.

Addressing the media after inaugurating the 1st International Financial Architecture Working Group Meeting of G20 in Chandigarh, the Union minister categorically said the support for agriculture production cannot be diluted.

""Under the leadership of Prime Minister Narendra Modi, India's interest will be protected,"" said Tomar while responding to a question, if India will succumb to the pressure from the developing world to end subsidies in the farm sector.

On climate change impacting the agriculture, the Union Minister, who was accompanied by Union Minister for Food Processing, Pashupati Kumar Paras, said the year-long deliberations of G20 under India's presidency will definitely have discussions on climate change and its impact on livelihood of farmers.

""It's a global challenge and G20 is a going to be a fruitful platform to have deliberations on the issue that is impacting the world,"" said Tomar.

He said G20 presidency of India is an opportunity to showcase India's strength to the global world.

""Earlier, such global summits used to be held in Delhi or in Hyderabad or Bengaluru. Now, as per the Prime Minister's vision, more than 200 meetings are being held in 50 places in the country with an aim to showcase India's cultural and historical strength to the delegates.

""The aim is that the delegates visit each and every corner of the country and relish different weather conditions,"" said Tomar.

More than two lakh international delegates are expected to attend the year-long G20 deliberations.

Thomar said the sole aim of the summit is to strengthen the weaker economies.

""In today's world, different countries have common problems and G20 is the ideal forum to find solutions to all common issues,"" said Tomar.

Praising Prime Minister Modi for holding the G20 presidency, Food Processing Minister Paras said, ""All credit goes to PM Modi who has been rated as one of the best Prime Minsters globally.""",1
15,"Govt efforts to double farmers' income
yielded positive results: Tomar","NEW DELHI: The government's efforts to double the income
of farmers have yielded ""very positive"" results, agriculture
minister Narendra Singh Tomar said in Parliament on
Tuesday.
The government had set up an Inter-Ministerial Committee
in April 2016 to examine issues relating to “Doubling of
Farmers' Income (DFI)” and recommended strategies to
achieve the same.
The panel had submitted its final report to the government
in September 2018. It contained the strategy for doubling
farmers' income through various policies, reforms and
programmes, Tomar said the government has adopted
and implemented several policies, reforms, developmental
programmes and schemes for achieving higher income for
farmers directly or indirectly Azadi ka Amrit Mahotsav', Indian Council of
Agricultural Research (ICAR) has released a book that
contains compilation of success stories of 75,000 farmers out
of innumerable farmers who have increased their income
more than two times, he added",1
25,"Canada, Saskatchewan Invest $17.6M in Crop Research","Canada’s Minister of Agriculture and Agri-Food Marie-Claude Bibeau and Saskatchewan Agriculture Minister David Marit announced total funding of $17.6 million today for crop-related research in 2023.

Invested through Saskatchewan’s Agriculture Development Fund (ADF), the announcement includes $10.3 million for 49 research projects, as well as $7.2 million in operational support over the next five years for the Crop Development Centre (CDC) in Saskatoon. Since being established in 1971, the CDC-a research organization with the Department of Plant Sciences at the University of Saskatchewan-has released over 500 commercial crop varieties in over 40 different crop types.

Examples of the individual research projects being funded include exploring the diversity of Fusarium root to species infecting pulse crops, insect response to climate change and agricultural inputs across the prairies, economic salinity remediation strategies for agriculture water using innovative desalinization minerals, and a nutritionally balanced pulse-oilseed protein-based beverage.

An additional $4.6 million was contributed in support of this year’s research projects by the",1
35,"Budget 2023 gives Rs 968cr digitisation boost to connect, drive agriculture cooperatives","The government proposes to spend ?1,150.38 crore on the cooperatives sector in FY24, with ?968 crore earmarked for computerisation of some 63,000 primary cooperative agriculture societies (PCAS).

The total cost for computerisation of PCAS is estimated at ?2,516 crore. The scheme aims to computerise PCAS, leading to an increase in its efficiency, profitability, transparency and accountability.

""The budget further makes provision to set up decentralised storage capacity so that farmers can store their produce and realise remunerative prices to sell at an appropriate time,"" read a statement issued by the cooperative ministry. ""The government will facilitate setting up of a large number of multipurpose cooperatives societies, primary fishery societies, and dairy cooperative societies in uncovered panchayats and villages in the next five years.""The announcement comes close on the heels of the Cabinet decision to set up three new cooperative societies to boost organic farming, seeds and exports, with the aim to push up farm income.

As per the budget announcement, new cooperatives commencing manufacturing by March 31, 2024 will get the benefit of a lower tax rate of 15%, while higher limit of ?2 lakh per member has been earmarked for cash deposit and loans in cash by PACS and primary cooperative agricultural and rural development banks. A higher limit of ?3 crore for TDS on cash withdrawal has been provided to cooperative societies, the statement said.

Finance minister Nirmala Sitharaman said in her budget speech that a national cooperative database for countrywide mapping of cooperative societies will be created for better implementation of the proposed national policy on cooperatives.

""Setting up of cooperatives will ensure that there is no distress sale of farm products and farmers get better price for their produce,"" Jayen Mehta, incharge managing director of Gujarat Cooperative Milk Marketing Federation (GCMMF).

In a relief to sugar cooperative mills, the claims for payments made to sugar farmers prior to assessment year 2016-17 will be considered as 'expenditure'. This is likely to provide a relief of about ?10,000 crore to the sugar cooperatives, according to the ministry of cooperation. The department was taken out from the agriculture ministry and created into a separate ministry by Prime Minister Narendra Modi in July 2021.",1
37,Farmer dies in tiger attack in Wayanad,"
A 50 -year-old farmer died after being attacked by a tiger at Pudussery under the Mananthavady forest range of the North Wayanad forest division on Thursday.

The deceased has been identified as Thomas, alias Salu, of Pallipurath house at Vellaramkunnu, near Puthussery, at Mananthavady in the district.

The incident occurred around 10 a.m., said Forest department sources. A tiger attacked Thomas while he was working on his farm. He sustained serious injuries on his legs and hands in the attack.

Though he was rushed to Government Medical College Hospital (MCH) at Mananthavady and was referred to Government Medical College Hospital, Kozhikode, he died of cardiac arrest at a private hospital here on his way to the MCH, said sources.
A group of people gheraoed forest officials, including North Wayanad Divisional Forest Officer Martin Lowel, who had come to the spot, seeking protection for their life and property from recurring attacks by wild animals. Later Mr. Lowel held discussions with the villagers in the presence of leaders of various political parties.

He assured them that measures would be adopted to capture the animal by setting up cages. Patrolling would be intensified in the area and surveillance cameras would be installed to monitor the movements of the big cat, he said .Meanwhile, the Chief Wildlife Warden issued an order to capture the tiger by placing cages at the site where the animal was frequently seen. If repeated attempts of caging did not succeeded it could be tranqualised.

Wayanad District Collector A. Geetha declared a holiday for all educational institutions in Thodarnadu and Thavinhal grama panchayats on Friday. Mananthavady tahsildar M.J. Augustine was appointed as the executive magistrate to maintain the law and order within the Thondarnadu grama panchayat limits.

The United Democratic Front called for a hartal in Mananthavady taluk on Friday seeking protection of life and property of the public from wildlife attacks and a compensation of ?50 lakh to the kin of the deceased",1
51,"Farmer suicides reduced in Telangana, Centre tells Parliament","HYDERABAD: Union Agriculture Minister Narendra Singh Tomar informed Rajya Sabha during Question Hour on Friday that farmer suicides have drastically reduced in the last five years in Telangana.
He said that the farmer suicides reported in Telangana were 846 in 2017, 900 in 2018, 491 in 2019, 466 in 2020 and 352 in 2021.

Responding to this, State Minister Singireddy Niranjan Reddy said that though the number of farmer suicides has been reducing every year, some people were resorting to the false propaganda against the government. He recalled that around 90,000 families of farmers received insurance amounts under Rythu Bima. “Opposition parties should stop doing politics on farmer suicides at least now, as the Union Minister categorically stated that the suicides were reducing in the State,” Niranjan Reddy said.  

Women and mobile phones
To another question, Union Electronics and Information Technology Minister Ashwini Vaishnaw said that 60 per cent of women in Telangana in the age group of 15-49 years, have a mobile phone that they themselves use, as per the fifth round of National Family Health Survey (NFHS-5), 2019-21. MoS (Communications) Devusinh Chauhan informed the Rajya Sabha that 252 villages in the State were still without 4G coverage.",1
54,"Maharashtra: 1,023 Farmers Died By Suicide In Marathwada In 2022, Reveals Divisional Commissioner","The Marathwada area of Maharashtra recorded 1,023 farmer suicides in 2022, an increase from 887 the year before, according to an official from the office of the divisional commissioner.

The region, including Parbhani, Hingoli, Nanded, Latur, Osmanabad, Jalna, Aurangabad, and Beed districts, reported one farmer suicide in 2001. Further, 10,431 farmers have committed suicide in the region's eight districts since 2001, suggests the statistics from the divisional commissioner.

Numbers Screaming Truth!
There were 379 farmer suicides reported in 2006, the highest number between 2001 and 2010. The data shows 1,133 farmer suicides were reported in 2015, the highest number in the 2011–2020 decade. Of the 10,431 farmers who had died by suicide since 2001, only 7605 received aid following the norms of the government, said the official.

According to officials and activists, the region has had drought-like circumstances in some years and excessive rain in others, which has exacerbated agricultural farmers' troubles. They said that the irrigation network in the area is not being utilised to its full potential.

'Need To Work At Micro Level'
According to NDTV, Vinayak Hegana, who runs a counselling centre for agricultural producers in partnership with the district administration in Osmanabad, underlined the need to work at the micro level while analysing farmer suicides. He said the plans to reduce the numbers, find flaws in these rules and improve them should be a continual effort. He added policies are being developed at the top, but he noted that the execution might be better.

Previously, the months of July and October were when most farmer suicides were reported, but the trend has now shifted. He added that the numbers are increasing between December and June.

Ambadas Danve, the leader of the opposition in the Maharashtra Legislative Council, stated that despite several debt exemptions for farmers, the number of suicides is rising. He said, ""When we waive their loans, we also have to see to it that their crop yield also gets good returns.""

Danve also brought up the issues of expensive fertilisers and seedlings of poor quality and claimed that these are detrimental to the agricultural industry. He noted that the most crucial factor is that these farm resources meet acceptable quality standards.",1
71,Hyderabad: Farmer’s family of five tries committing suicide in front of Pragati Bhavan,"Hyderabad: A farmer, along with his wife and three children attempted suicide by pouring petrol in front of chief minister K Chandrashekar Rao’s camp office at Pragati Bhavan on Monday.

According to the police, a farmer identified as Ilaiah, a resident of Ibrahimpatnam was angry over the loss of his land to the NSG hub at Ibrahimpatnam and played the act in front of the Pragati Bhavan.

NSG is Federal Contingency deployment Force to conduct anti-hijack operations, rescue operations

However, a major tragedy was avoided as the police stopped him from engaging in the extreme act on time.C Harishchandra Reddy, Station House Officer (SHO) posted at Panjagutta Police Station said that the government had given him land in 1979 and acquired the land in 2010.

He demanded justice after claiming that he did not receive the compensation and someone else has taken it.

The farmer was very upset after this incident and tried to commit suicide by pouring petrol on himself.

Though he was immediately rescued by the security personnel. He was taken to the station and counselled.

He came along with his wife and three children to the Pragati Bhawan,” Reddy added.
Further investigation is underway the police said.",1
75,Pune: Farmer commits suicide due to harrasment by money lender In Bhor Taluka,"Due to moneylender pressure, a farmer committed suicide by hanging himself in Kurungwadi village in Bhor taluka. An illegal moneylender has been charged with inciting the farmer's suicide.

Satish Bajirao Shilimkar (43), a resident of Kurungwadi, taluka Bhor, district Pune, is the name of the deceased farmer. Amrut Mahadev Shilimkar, a resident of Tambhad, taluka Bhor, district Pune, has been charged with inciting Shilimkar to commit suicide and illegal money lending.

City
Marathi | Hindi

Download AppEpaper
FOLLOW US :

City
Latest News
Cricket
National
International
Maharashtra
Aurangabad
Nagpur
Entertainment
More
Pune: Farmer commits suicide due to harrasment by money lender In Bhor Taluka
By Lokmat English Desk | Published: January 23, 2023 06:12 PM
Due to moneylender pressure, a farmer committed suicide by hanging himself in Kurungwadi village in Bhor taluka. An illegal ...
Pune: Farmer commits suicide due to harrasment by money lender In Bhor Taluka | Pune: Farmer commits suicide due to harrasment by money lender In Bhor Taluka
Pune: Farmer commits suicide due to harrasment by money lender In Bhor Taluka
Due to moneylender pressure, a farmer committed suicide by hanging himself in Kurungwadi village in Bhor taluka. An illegal moneylender has been charged with inciting the farmer's suicide.

Satish Bajirao Shilimkar (43), a resident of Kurungwadi, taluka Bhor, district Pune, is the name of the deceased farmer. Amrut Mahadev Shilimkar, a resident of Tambhad, taluka Bhor, district Pune, has been charged with inciting Shilimkar to commit suicide and illegal money lending.

Vaishali Shilimkar, Satish Shilimkar's wife, has filed a complaint with the Rajgad police station. Amrut had given Satish money with interest and was harassing him for it. Amrut had demanded Rs 28 lakh from him. Satish hung himself on a tree in the field as a result of Amrut's mental harassment, torture, and threats.

Amrut had demanded that the agricultural land be transferred to his name. According to Vaishali Shilimkar's complaint, her husband Satish committed suicide due to his threats.Dhananjay Patil, Sub Divisional Police Officer in Bhor, and Sachin Patil, Senior Police Inspector at Rajgad Police Station, both visited the spot. The case is being investigated further by Assistant Police Inspector Sanjay Sutnase.",1
